version,region,input_size,threads,io_aloc,context_switches,page_faults,cycles,instructions,branches,branch_misses,time,time_stddev
mandelbrot_omp,seahorse,512,16,sem,141,134,706686,817403,135059,185699,0.00134,1.24
mandelbrot_omp,seahorse,1024,16,sem,351,134,440830,375290,100955,756797,0.00217,0.54
mandelbrot_omp,seahorse,2048,16,sem,1550,134,50294,374104,622367,859315,0.029,1.85
mandelbrot_omp,triple_spiral,16,16,sem,69,134,556694,398490,711043,16415,0.000139,3.29
mandelbrot_omp,triple_spiral,32,16,sem,72,134,645055,874957,93866,23642,0.00018,3.28
mandelbrot_omp,triple_spiral,64,16,sem,70,134,995252,553392,30185,26944,0.000243,4.09
mandelbrot_omp,triple_spiral,128,16,sem,73,134,848186,520611,88560,28573,0.000222,1.7
mandelbrot_omp,triple_spiral,256,16,sem,90,134,630130,7607,674289,71767,0.000418,1.2
mandelbrot_omp,triple_spiral,512,16,sem,145,134,618235,202055,343240,199934,0.000568,0.47
mandelbrot_omp,triple_spiral,1024,16,sem,375,134,386949,542662,478330,869473,0.00257,0.56
mandelbrot_omp,triple_spiral,2048,16,sem,1345,134,190832,740863,488094,34350,0.0204,1.18
